model,task,index,value
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,0,1.28
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,1,8.35
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,2,70.84
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,3,38.78
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,4,19.61
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,0,16.98
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,1,8.32
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,2,8.45
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,3,15.23
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,4,10.34
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,5,10.61
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,6,15.03
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,7,27.18
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,8,50.21
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,9,27.96
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,10,14.66
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,11,10.54
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,12,10.12
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,13,15.3
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,14,8.35
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,15,8.54
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,16,16.98
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,0,1.55
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,1,9.25
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,2,71.49
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,3,40.36
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,4,21.4
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,0,16.98
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,1,7.93
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,2,8.23
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,3,15.63
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,4,9.71
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,5,10.02
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,6,14.39
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,7,25.92
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,8,51.36
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,9,25.63
