model,task,index,value
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,10,14.06
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,11,9.9
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,12,9.78
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,13,15.65
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,14,8.12
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,15,7.79
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,16,16.98
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,zoom,0,0.9
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,zoom,1,6.62
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,zoom,2,59.07
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,zoom,3,29.21
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,zoom,4,16.41
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,0,12.47
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,1,4.61
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,2,5.2
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,3,11.05
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,4,5.14
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,5,5.31
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,6,8.21
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,7,17.31
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,8,37.36
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,9,17.32
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,10,7.16
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,11,5.59
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,12,6.1
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,13,11.44
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,14,4.86
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,15,5.53
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,16,12.47
