model,task,index,value
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,11,3.55
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,12,4.03
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,13,6.17
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,14,3.09
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,15,3.55
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,16,6.46
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,zoom,0,1.0
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,zoom,1,2.48
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,zoom,2,30.54
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,zoom,3,16.35
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,zoom,4,12.16
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,0,4.69
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,1,2.05
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,2,2.27
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,3,4.6
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,4,2.34
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,5,2.16
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,6,2.97
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,7,4.86
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,8,13.13
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,9,4.96
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,10,2.96
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,11,2.09
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,12,2.27
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,13,4.93
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,14,2.37
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,15,1.95
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,16,4.69
