model,task,index,value
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,7,5.36
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,8,12.95
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,9,4.97
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,10,3.57
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,11,2.44
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,12,3.0
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,13,4.38
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,14,2.37
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,15,2.55
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,16,5.2
