model,task,index,value
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,0,1.14
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,1,6.76
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,2,58.46
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,3,32.67
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,4,19.49
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,0,10.66
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,1,5.32
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,2,5.02
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,3,9.27
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,4,6.39
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,5,5.82
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,6,9.34
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,7,18.76
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,8,32.18
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,9,18.86
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,10,8.93
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,11,5.81
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,12,6.25
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,13,9.37
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,14,5.11
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,15,5.37
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,16,10.66
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,0,0.97
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,1,5.96
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,2,55.56
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,3,32.27
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,zoom,4,19.25
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,0,9.68
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,1,4.66
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,2,4.66
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,3,9.1
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,4,5.47
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,5,5.32
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,6,8.01
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,7,15.6
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,8,29.5
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,9,17.77
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,10,8.2
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,11,5.46
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,12,5.7
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,13,8.99
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,14,4.66
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,15,4.72
classification_PIGNet_classification_resnet50_scratch_CIFAR-100_v3.pth,rotate,16,9.68
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,zoom,0,0.92
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,zoom,1,3.8
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,zoom,2,44.18
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,zoom,3,24.37
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,zoom,4,15.92
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,0,6.3
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,1,2.89
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,2,2.86
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,3,5.79
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,4,3.28
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,5,3.16
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,6,4.53
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,7,10.06
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,8,18.75
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,9,10.51
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,10,4.28
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,11,2.86
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,12,3.13
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,13,6.05
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,14,2.93
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,15,2.77
classification_Resnet_resnet50_scratch_CIFAR-100_v3.pth,rotate,16,6.3
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,zoom,0,0.97
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,zoom,1,2.56
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,zoom,2,31.2
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,zoom,3,17.16
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,zoom,4,12.33
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,0,5.2
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,1,2.57
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,2,2.58
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,3,4.42
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,4,3.25
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,5,2.7
classification_vit_resnet50_scratch_CIFAR-100_v3.pth,rotate,6,3.4
