model,task,index,value
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,0,0.85
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,1,7.81
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,2,70.8
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,3,40.18
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,4,21.56
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,0,17.4
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,1,8.72
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,2,8.87
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,3,16.47
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,4,10.54
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,5,9.74
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,6,15.53
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,7,27.44
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,8,51.01
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,9,28.06
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,10,15.14
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,11,9.9
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,12,10.16
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,13,15.65
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,14,8.64
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,15,8.68
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,16,17.4
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,0,1.04
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,1,8.78
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,2,71.54
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,3,40.88
