model,task,index,value
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,zoom,4,22.3
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,0,17.79
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,1,8.91
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,2,8.41
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,3,16.06
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,4,10.11
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,5,10.47
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,6,14.92
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,7,26.72
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,8,51.86
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,9,27.87
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,10,15.16
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,11,10.32
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,12,10.47
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,13,16.62
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,14,8.76
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,15,8.56
classification_PIGNet_classification_resnet50_pretrained_CIFAR-100_v3.pth,rotate,16,17.79
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,zoom,0,0.99
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,zoom,1,5.67
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,zoom,2,58.04
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,zoom,3,27.91
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,zoom,4,15.86
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,0,12.57
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,1,4.54
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,2,4.54
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,3,11.16
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,4,5.2
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,5,4.47
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,6,7.74
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,7,16.05
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,8,36.84
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,9,15.76
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,10,7.56
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,11,4.52
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,12,5.64
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,13,11.12
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,14,4.59
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,15,4.87
classification_Resnet_resnet50_pretrained_CIFAR-100_v3.pth,rotate,16,12.57
