model,task,index,value
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,zoom,0,2.26
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,zoom,1,43.6
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,zoom,2,70.32
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,zoom,3,62.8
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,zoom,4,43.08
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,0,37.12
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,1,32.76
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,2,31.7
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,3,40.52
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,4,46.84
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,5,53.5
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,6,61.76
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,7,65.8
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,8,70.32
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,9,66.54
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,10,61.52
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,11,53.02
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,12,47.16
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,13,41.52
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,14,32.98
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,15,32.48
classification_PIGNet_GSPonly_classification_resnet50_scratch_imagenet_v3.pth,rotate,16,37.12
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,zoom,0,2.28
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,zoom,1,38.24
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,zoom,2,68.0
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,zoom,3,59.42
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,zoom,4,40.74
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,0,33.26
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,1,28.26
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,2,29.24
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,3,37.42
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,4,43.74
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,5,49.18
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,6,57.98
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,7,63.94
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,8,68.0
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,9,64.36
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,10,57.58
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,11,49.28
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,12,42.76
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,13,36.82
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,14,29.5
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,15,28.7
classification_PIGNet_classification_resnet50_scratch_imagenet_v3.pth,rotate,16,33.26
classification_Resnet_resnet50_scratch_imagenet_v3.pth,zoom,0,2.46
classification_Resnet_resnet50_scratch_imagenet_v3.pth,zoom,1,40.76
classification_Resnet_resnet50_scratch_imagenet_v3.pth,zoom,2,70.9
classification_Resnet_resnet50_scratch_imagenet_v3.pth,zoom,3,64.4
classification_Resnet_resnet50_scratch_imagenet_v3.pth,zoom,4,44.98
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,0,38.6
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,1,33.18
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,2,33.42
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,3,41.84
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,4,48.16
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,5,54.88
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,6,62.36
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,7,66.66
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,8,70.9
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,9,68.0
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,10,61.88
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,11,54.5
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,12,48.24
