model,task,index,value
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,13,41.44
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,14,33.18
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,15,33.34
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,16,38.6
classification_vit_resnet50_scratch_imagenet_v3.pth,zoom,0,1.18
classification_vit_resnet50_scratch_imagenet_v3.pth,zoom,1,9.06
classification_vit_resnet50_scratch_imagenet_v3.pth,zoom,2,42.88
classification_vit_resnet50_scratch_imagenet_v3.pth,zoom,3,40.04
classification_vit_resnet50_scratch_imagenet_v3.pth,zoom,4,31.54
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,0,32.6
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,1,23.26
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,2,23.06
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,3,30.78
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,4,27.38
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,5,27.74
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,6,32.0
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,7,36.14
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,8,42.88
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,9,36.7
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,10,32.12
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,11,29.0
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,12,26.64
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,13,30.78
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,14,22.88
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,15,23.66
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,16,32.6
