model,task,index,value
classification_Resnet_resnet50_scratch_imagenet_v3.pth,rotate,16,38.38
classification_vit_resnet50_scratch_imagenet_v3.pth,zoom,0,1.16
classification_vit_resnet50_scratch_imagenet_v3.pth,zoom,1,9.04
classification_vit_resnet50_scratch_imagenet_v3.pth,zoom,2,42.82
classification_vit_resnet50_scratch_imagenet_v3.pth,zoom,3,40.22
classification_vit_resnet50_scratch_imagenet_v3.pth,zoom,4,32.54
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,0,33.4
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,1,24.12
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,2,23.36
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,3,32.7
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,4,27.7
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,5,28.32
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,6,32.52
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,7,36.2
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,8,42.82
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,9,36.48
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,10,32.78
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,11,28.28
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,12,27.48
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,13,32.58
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,14,23.42
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,15,24.04
classification_vit_resnet50_scratch_imagenet_v3.pth,rotate,16,33.4
