model,task,index,value
ASPP_resnet50_pascal_pretrain_v3.pth,zoom,0,8.256410641309984
ASPP_resnet50_pascal_pretrain_v3.pth,zoom,1,65.2930494919192
ASPP_resnet50_pascal_pretrain_v3.pth,zoom,2,74.91415939439395
ASPP_resnet50_pascal_pretrain_v3.pth,zoom,3,74.70290908025542
ASPP_resnet50_pascal_pretrain_v3.pth,zoom,4,72.50592620813858
ASPP_resnet50_pascal_pretrain_v3.pth,overlap,0,53.121513097987595
ASPP_resnet50_pascal_pretrain_v3.pth,overlap,1,53.239851061326085
ASPP_resnet50_pascal_pretrain_v3.pth,overlap,2,54.9161106731161
ASPP_resnet50_pascal_pretrain_v3.pth,overlap,3,52.64519404455298
ASPP_resnet50_pascal_pretrain_v3.pth,overlap,4,50.16872366398526
ASPP_resnet50_pascal_pretrain_v3.pth,repeat,0,76.34549162400045
ASPP_resnet50_pascal_pretrain_v3.pth,repeat,1,35.99366173564881
ASPP_resnet50_pascal_pretrain_v3.pth,repeat,2,11.518834709596806
ASPP_resnet50_pascal_pretrain_v3.pth,repeat,3,5.123694703677368
ASPP_resnet50_pascal_pretrain_v3.pth,repeat,4,3.712133262644055
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,zoom,0,8.38044947614275
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,zoom,1,66.0986059830372
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,zoom,2,74.66846268154667
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,zoom,3,73.75980274143798
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,zoom,4,70.05444733174778
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,overlap,0,49.814253946524786
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,overlap,1,51.49189256096981
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,overlap,2,51.43035848548091
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,overlap,3,51.40412639887057
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,overlap,4,47.96698161469339
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,repeat,0,77.27884961472698
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,repeat,1,37.00667035424357
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,repeat,2,12.784986429094097
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,repeat,3,5.670349970891379
PIGNet_GSPonly_resnet50_pascal_pretrain_v3.pth,repeat,4,3.874710079658117
PIGNet_resnet50_pascal_pretrain_v3.pth,zoom,0,8.495300894151248
PIGNet_resnet50_pascal_pretrain_v3.pth,zoom,1,65.14697386573965
PIGNet_resnet50_pascal_pretrain_v3.pth,zoom,2,74.94031009442322
PIGNet_resnet50_pascal_pretrain_v3.pth,zoom,3,75.17741247197144
PIGNet_resnet50_pascal_pretrain_v3.pth,zoom,4,71.69488251338451
PIGNet_resnet50_pascal_pretrain_v3.pth,overlap,0,53.427262885293224
PIGNet_resnet50_pascal_pretrain_v3.pth,overlap,1,51.47934982170532
PIGNet_resnet50_pascal_pretrain_v3.pth,overlap,2,52.37063406860315
PIGNet_resnet50_pascal_pretrain_v3.pth,overlap,3,50.46679006813789
PIGNet_resnet50_pascal_pretrain_v3.pth,overlap,4,48.720841094897246
PIGNet_resnet50_pascal_pretrain_v3.pth,repeat,0,76.42613367542575
PIGNet_resnet50_pascal_pretrain_v3.pth,repeat,1,36.557974472141844
PIGNet_resnet50_pascal_pretrain_v3.pth,repeat,2,13.113689052441865
PIGNet_resnet50_pascal_pretrain_v3.pth,repeat,3,5.625233892933982
PIGNet_resnet50_pascal_pretrain_v3.pth,repeat,4,3.851545564554855
