model,task,index,value
ASPP_resnet101_cityscape_pretrain_v3.pth,zoom,0,16.903470061231452
ASPP_resnet101_cityscape_pretrain_v3.pth,zoom,1,63.172640828980406
ASPP_resnet101_cityscape_pretrain_v3.pth,zoom,2,65.80291004428082
ASPP_resnet101_cityscape_pretrain_v3.pth,zoom,3,67.21656442482872
ASPP_resnet101_cityscape_pretrain_v3.pth,zoom,4,63.556237587134056
ASPP_resnet101_cityscape_pretrain_v3.pth,overlap,0,61.383297492253774
ASPP_resnet101_cityscape_pretrain_v3.pth,overlap,1,62.72735919781304
ASPP_resnet101_cityscape_pretrain_v3.pth,overlap,2,63.29903250809926
ASPP_resnet101_cityscape_pretrain_v3.pth,overlap,3,60.894304576769954
ASPP_resnet101_cityscape_pretrain_v3.pth,overlap,4,55.79863143214908
ASPP_resnet101_cityscape_pretrain_v3.pth,repeat,0,67.4152386929854
ASPP_resnet101_cityscape_pretrain_v3.pth,repeat,1,45.79109470925148
ASPP_resnet101_cityscape_pretrain_v3.pth,repeat,2,28.87461654287963
ASPP_resnet101_cityscape_pretrain_v3.pth,repeat,3,19.925017077387146
ASPP_resnet101_cityscape_pretrain_v3.pth,repeat,4,14.158477457780613
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,zoom,0,21.847893812159942
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,zoom,1,60.581758397161266
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,zoom,2,70.11169684400488
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,zoom,3,67.55019501546158
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,zoom,4,62.668940911624546
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,overlap,0,61.61458612005445
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,overlap,1,59.51316221494224
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,overlap,2,59.00301628682798
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,overlap,3,60.30662996788847
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,overlap,4,57.03793259349387
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,repeat,0,68.63747905665754
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,repeat,1,44.54051242350071
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,repeat,2,29.544498136852184
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,repeat,3,19.74751306751019
PIGNet_GSPonly_resnet101_cityscape_pretrain_v3.pth,repeat,4,15.256740161273813
PIGNet_resnet101_cityscape_pretrain_v3.pth,zoom,0,14.801293917048017
PIGNet_resnet101_cityscape_pretrain_v3.pth,zoom,1,60.71819603763782
PIGNet_resnet101_cityscape_pretrain_v3.pth,zoom,2,68.20811208961123
PIGNet_resnet101_cityscape_pretrain_v3.pth,zoom,3,67.12864363976455
PIGNet_resnet101_cityscape_pretrain_v3.pth,zoom,4,65.69490691828146
PIGNet_resnet101_cityscape_pretrain_v3.pth,overlap,0,58.42254213889498
PIGNet_resnet101_cityscape_pretrain_v3.pth,overlap,1,61.084092423707105
PIGNet_resnet101_cityscape_pretrain_v3.pth,overlap,2,60.44182781401785
PIGNet_resnet101_cityscape_pretrain_v3.pth,overlap,3,59.108110220389065
PIGNet_resnet101_cityscape_pretrain_v3.pth,overlap,4,57.910323885569646
PIGNet_resnet101_cityscape_pretrain_v3.pth,repeat,0,67.33854418696545
PIGNet_resnet101_cityscape_pretrain_v3.pth,repeat,1,44.36758714538126
PIGNet_resnet101_cityscape_pretrain_v3.pth,repeat,2,27.32562997169205
PIGNet_resnet101_cityscape_pretrain_v3.pth,repeat,3,19.760438198039406
PIGNet_resnet101_cityscape_pretrain_v3.pth,repeat,4,14.382119300061886
