model,task,index,value
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,0,10.35
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,1,28.26
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,2,91.66
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,3,65.48
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,4,37.14
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,0,29.19
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,1,22.67
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,2,21.52
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,3,27.88
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,4,26.97
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,5,34.04
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,6,45.19
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,7,63.19
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,8,82.26
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,9,62.97
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,10,43.2
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,11,31.12
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,12,25.91
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,13,27.92
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,14,20.71
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,15,23.45
classification_PIGNet_GSPonly_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,16,29.19
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,0,10.0
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,1,27.91
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,2,91.47
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,3,65.77
