model,task,index,value
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,zoom,4,38.81
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,0,27.59
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,1,19.5
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,2,18.45
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,3,27.61
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,4,24.21
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,5,30.46
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,6,38.79
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,7,58.17
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,8,79.37
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,9,58.87
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,10,38.19
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,11,26.73
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,12,22.55
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,13,27.42
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,14,19.54
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,15,21.37
classification_PIGNet_classification_resnet50_pretrained_CIFAR-10_v3.pth,rotate,16,27.59
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,zoom,0,9.84
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,zoom,1,24.57
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,zoom,2,83.46
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,zoom,3,49.63
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,zoom,4,29.39
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,0,22.46
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,1,14.47
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,2,13.56
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,3,20.04
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,4,15.41
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,5,15.46
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,6,22.15
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,7,39.25
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,8,62.4
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,9,38.71
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,10,22.69
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,11,15.87
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,12,14.86
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,13,20.73
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,14,13.73
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,15,14.93
classification_Resnet_resnet50_pretrained_CIFAR-10_v3.pth,rotate,16,22.46
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,zoom,0,10.0
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,zoom,1,19.48
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,zoom,2,62.57
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,zoom,3,42.86
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,zoom,4,34.29
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,0,18.62
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,1,11.35
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,2,11.2
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,3,13.65
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,4,11.9
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,5,12.85
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,6,15.34
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,7,23.17
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,8,33.13
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,9,19.85
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,10,15.47
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,11,12.77
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,12,12.19
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,13,13.94
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,14,11.06
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,15,12.35
classification_vit_resnet50_pretrained_CIFAR-10_v3.pth,rotate,16,18.62
