model,task,index,value
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,0,9.95
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,1,24.74
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,2,84.32
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,3,56.73
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,4,34.23
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,0,21.33
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,1,14.68
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,2,14.26
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,3,19.41
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,4,15.89
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,5,18.21
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,6,26.26
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,7,43.85
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,8,62.39
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,9,44.62
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,10,25.43
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,11,18.5
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,12,16.12
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,13,20.19
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,14,14.54
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,15,15.13
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,16,21.33
