model,task,index,value
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,0,10.24
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,1,23.39
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,2,84.17
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,3,57.98
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,4,34.92
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,0,22.24
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,1,13.83
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,2,12.78
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,3,19.32
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,4,15.85
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,5,17.6
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,6,23.04
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,7,42.3
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,8,63.18
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,9,41.36
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,10,22.56
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,11,17.38
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,12,15.21
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,13,20.17
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,14,12.71
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,15,13.61
classification_PIGNet_GSPonly_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,16,22.24
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,0,10.0
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,1,25.1
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,2,82.53
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,3,58.82
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,zoom,4,35.84
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,0,19.63
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,1,13.52
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,2,13.0
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,3,18.19
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,4,14.58
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,5,16.57
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,6,21.94
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,7,39.51
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,8,56.55
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,9,39.6
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,10,23.54
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,11,16.0
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,12,14.21
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,13,18.13
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,14,12.39
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,15,13.9
classification_PIGNet_classification_resnet50_scratch_CIFAR-10_v3.pth,rotate,16,19.63
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,zoom,0,10.0
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,zoom,1,21.54
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,zoom,2,75.4
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,zoom,3,51.89
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,zoom,4,35.68
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,0,19.05
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,1,13.53
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,2,12.27
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,3,16.89
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,4,13.62
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,5,13.81
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,6,17.2
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,7,29.67
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,8,44.9
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,9,33.44
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,10,19.22
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,11,14.19
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,12,12.81
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,13,17.02
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,14,12.05
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,15,12.1
classification_Resnet_resnet50_scratch_CIFAR-10_v3.pth,rotate,16,19.05
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,zoom,0,10.0
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,zoom,1,17.44
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,zoom,2,56.7
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,zoom,3,38.66
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,zoom,4,31.49
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,0,18.55
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,1,15.72
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,2,13.92
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,3,15.06
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,4,14.7
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,5,15.8
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,6,17.82
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,7,22.4
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,8,34.01
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,9,20.64
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,10,18.12
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,11,15.14
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,12,14.19
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,13,15.51
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,14,14.94
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,15,16.44
classification_vit_resnet50_scratch_CIFAR-10_v3.pth,rotate,16,18.55
